"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"03.01.2021 11:15 - 03.01.2021 11:30","49882","55895"
"03.01.2021 11:30 - 03.01.2021 11:45","50353","56653"
"03.01.2021 11:45 - 03.01.2021 12:00","50539","56958"
"03.01.2021 12:00 - 03.01.2021 12:15","50748","57030"
"03.01.2021 12:15 - 03.01.2021 12:30","50702","56895"
"03.01.2021 12:30 - 03.01.2021 12:45","50100","56768"
"03.01.2021 12:45 - 03.01.2021 13:00","49639","56504"
"03.01.2021 13:00 - 03.01.2021 13:15","49467","56251"
"03.01.2021 13:15 - 03.01.2021 13:30","49282","56076"
"03.01.2021 13:30 - 03.01.2021 13:45","48884","55776"
"03.01.2021 13:45 - 03.01.2021 14:00","48204","55355"
"03.01.2021 14:00 - 03.01.2021 14:15","47845","54942"
"03.01.2021 14:15 - 03.01.2021 14:30","47595","54666"
"03.01.2021 14:30 - 03.01.2021 14:45","47189","54735"
"03.01.2021 14:45 - 03.01.2021 15:00","47367","54607"
"03.01.2021 15:00 - 03.01.2021 15:15","47087","55072"
"03.01.2021 15:15 - 03.01.2021 15:30","47161","54948"
"03.01.2021 15:30 - 03.01.2021 15:45","47200","55088"
"03.01.2021 15:45 - 03.01.2021 16:00","47371","55041"
"03.01.2021 16:00 - 03.01.2021 16:15","47390","55138"
"03.01.2021 16:15 - 03.01.2021 16:30","47978","55940"
"03.01.2021 16:30 - 03.01.2021 16:45","48890","56787"
"03.01.2021 16:45 - 03.01.2021 17:00","49910","57558"
"03.01.2021 17:00 - 03.01.2021 17:15","50974","58722"
"03.01.2021 17:15 - 03.01.2021 17:30","51756","59618"
"03.01.2021 17:30 - 03.01.2021 17:45","52602","59840"
"03.01.2021 17:45 - 03.01.2021 18:00","52858","59759"
"03.01.2021 18:00 - 03.01.2021 18:15","53380","59800"
"03.01.2021 18:15 - 03.01.2021 18:30","53111","59723"
"03.01.2021 18:30 - 03.01.2021 18:45","53049","59259"
"03.01.2021 18:45 - 03.01.2021 19:00","52811","58892"
"03.01.2021 19:00 - 03.01.2021 19:15","52758","58310"
"03.01.2021 19:15 - 03.01.2021 19:30","52196","57779"
"03.01.2021 19:30 - 03.01.2021 19:45","51903","57160"
"03.01.2021 19:45 - 03.01.2021 20:00","51476","56716"
"03.01.2021 20:00 - 03.01.2021 20:15","51212","56347"
"03.01.2021 20:15 - 03.01.2021 20:30","50353","55537"
"03.01.2021 20:30 - 03.01.2021 20:45","49596","54778"
"03.01.2021 20:45 - 03.01.2021 21:00","48884","53840"
"03.01.2021 21:00 - 03.01.2021 21:15","48608","53932"
"03.01.2021 21:15 - 03.01.2021 21:30","48252","53640"
"03.01.2021 21:30 - 03.01.2021 21:45","47675","53345"
"03.01.2021 21:45 - 03.01.2021 22:00","47996","53171"
"03.01.2021 22:00 - 03.01.2021 22:15","48571","53483"
"03.01.2021 22:15 - 03.01.2021 22:30","48152","53149"
"03.01.2021 22:30 - 03.01.2021 22:45","47587","52259"
"03.01.2021 22:45 - 03.01.2021 23:00","46699","51439"
"03.01.2021 23:00 - 03.01.2021 23:15","46098","51284"
"03.01.2021 23:15 - 03.01.2021 23:30","45389","50571"
"03.01.2021 23:30 - 03.01.2021 23:45","44563","49688"
"03.01.2021 23:45 - 04.01.2021 00:00","44061","49104"
"04.01.2021 00:00 - 04.01.2021 00:15","44383","48370"
"04.01.2021 00:15 - 04.01.2021 00:30","43581","47906"
"04.01.2021 00:30 - 04.01.2021 00:45","43247","47384"
