labels,2015,2016,2017,2018,2019,2020,2021,low_shock,high_shock
116,28532.5,24375.25,22662,20439.25,18794.75,18234.25,15873,28532.5,20439.25
117,27821.75,23218,21065.75,18844.75,17954.5,16110.75,15532,27821.75,18844.75
118,27707.5,22937,21133.25,18443.25,17518,15971.25,15421,27707.5,18443.25
119,26981.5,22555.25,20331.75,17898.75,17005.5,15451.25,15164.5,26981.5,17898.75
120,25858.25,21156.5,19452.5,17827.25,17408,15372.75,15103,25858.25,17827.25
121,24510.75,20738.5,19404,17715.75,17126.25,15313.75,15130.5,24510.75,17715.75
122,25116.25,20731.5,19198.75,17480,17071,15293.75,15340.75,25116.25,17480
123,24371.75,20672,19454,17415.75,16990,15249.5,15440,24371.75,17415.75
124,24245,20445.75,19635.25,17380.25,16876.5,15290,15439.25,24245,17380.25
125,25140.75,20715,20245.25,17340.25,17026,15330.25,15674.5,25140.75,17340.25
126,26690,22110,20883.5,17550.75,16978.75,15626.75,15659.75,26690,17550.75
127,28445.5,23535.75,22086,18148.25,16949.75,16519.25,15666,28445.5,18148.25
128,28693,24422,23441.25,18149.75,17262.25,18485.75,15988.5,28693,18149.75
129,27940.5,24601.25,23649.5,17770.5,17168.75,18242,16620.5,27940.5,17770.5
130,27564.5,24861.75,22748.75,18434,17363,17018.75,17550.25,27564.5,18434
131,26978.25,25181.5,21757.75,20264.5,17692.75,15665.25,17703.25,26978.25,20264.5
132,26553.75,25172,21859,21086,17975,15976.75,17372.5,26553.75,21086
133,26986.25,24615.75,22336.5,19145,17215,15871.25,16017,26986.25,19145
134,27058.75,24300.75,22539.25,19272,17853.75,16365.25,15901.25,27058.75,19272
135,27163.25,24390.5,23673.5,19189.25,17941.5,16643,16068.25,27163.25,19189.25
136,27250.75,24847.25,25297.25,19867.25,18374.5,17084.75,17654.75,27250.75,19867.25
137,28392.25,26427.5,27144.5,21869.75,20615.25,19544.75,18805.5,28392.25,21869.75
138,27929.5,27415,25702.25,21634,20974.25,19333.75,17904.75,27929.5,21634
139,27857,26470.25,23829.5,22271.25,20507.75,18739.25,16773.25,27857,22271.25
140,27683.25,24116.75,21981,18953.5,18943.5,16386.5,16339.25,27683.25,18953.5
141,27039,23428.25,21237,17948.75,17435.5,15940.75,16010.25,27039,17948.75
142,25743.5,23894.25,20982.75,18168.25,17050.5,15839,15919.25,25743.5,18168.25
143,24923.75,22043.5,19715,17765.5,16895.75,15685.5,15790.75,24923.75,17765.5
144,23855,21239,20231.25,17829.5,16836.25,15695.5,15574.25,23855,17829.5
145,24081.5,20583.25,19939.75,17591.5,16823.25,15687,15478.25,24081.5,17591.5
146,23873.75,20079,19703.5,17392.5,16837.75,15658,15524,23873.75,17392.5
147,23090.75,20403.75,19735.25,17113.75,16862.75,15550.75,15474.25,23090.75,17113.75
148,23274.75,20848.5,19647.25,17255.75,16871.75,15594.5,15481,23274.75,17255.75
149,23985,21028.75,19554.25,17509,17043.75,15602.25,15612,23985,17509
150,26668,23363.75,19591.75,17081.75,18315.25,16071.5,16173.75,26668,17081.75
151,28890.75,24419,21158,16928.75,21286,18029,17106,28890.75,16928.75
152,29963.75,26430.75,21414,17357.5,22567.25,19569,18490.75,29963.75,17357.5
153,29134.75,24355.75,21770.5,18137.25,22320,21267.25,19136.5,29134.75,18137.25
154,29390.5,23215,21994.25,18022,22149.75,20157.75,19187,29390.5,18022
155,28895.75,24476,22447.5,18278.75,21664,19082,19533.75,28895.75,18278.75
156,28315.75,25046.75,23017.5,17816.75,19952.75,17093.5,18959.25,28315.75,17816.75
157,28766.75,24647.5,22401.75,17798.5,19167.5,16397.5,17811,28766.75,17798.5
158,28546.25,23971.75,22598.75,17867,20340,16923.5,17560.75,28546.25,17867
159,29482.5,23265.75,23258.25,18060,18322,16586.5,17721.75,29482.5,18060
160,30111.75,23524,24546.25,18748.75,17495.5,16529.5,18350.5,30111.75,18748.75
161,30148,24932.25,25645.5,21145.5,17691,18178.25,20233.5,30148,21145.5
162,29673,25133.5,25654.25,22020.25,16987.25,17997.5,19214.75,29673,22020.25
163,28907,23764.75,25311.5,20922.5,16875.25,16613.5,18962.5,28907,20922.5
164,28736,22885,23826,18659.25,17100.25,15928,16784.75,28736,18659.25
165,27272.25,21956.5,22846.25,17674.5,16846.75,15239.5,16019.25,27272.25,17674.5
166,26081.75,21933,22513.25,18787.75,16947.25,15260.25,16001.75,26081.75,18787.75
167,25232.75,21033.5,21378.5,18124.5,16694.25,15233,15792.25,25232.75,18124.5
168,24245.5,20582.75,21377.25,17831,16196.75,15352.25,15589.25,24245.5,17831
169,24249.5,20621.25,21930.25,17774.25,16503.75,15308.75,15594,24249.5,17774.25
170,23884.5,20301.5,20529.5,17932,16092.75,15298.5,15562,23884.5,17932
171,23419.75,20226.5,20065.75,17829.75,16301.5,15342.5,15542.25,23419.75,17829.75
172,23787.25,20304.5,20243,17577,16548.25,15409,15587,23787.25,17577
