labels,2015,2016,2017,2018,2019,2020,2021,2022
92,20.45766667,12.65316667,16.25308333,19.94183333,14.02066667,6.0065,22.00658333,101.0666667
93,20.384,12.703875,16.2335625,19.996375,14.0295,5.965625,22.1483125,100.5125
94,20.31033333,12.75458333,16.21404167,20.05091667,14.03833333,5.92475,22.29004167,99.95833333
95,20.23666667,12.80529167,16.19452083,20.10545833,14.04716667,5.883875,22.43177083,99.40416667
96,20.163,12.856,16.175,20.16,14.056,5.843,22.5735,98.85
97,20.162125,12.90670833,16.13020833,20.22645833,13.97910417,5.768416667,22.71522917,98.29583333
98,20.16125,12.95741667,16.08541667,20.29291667,13.90220833,5.693833333,22.85695833,97.74166667
99,20.160375,13.008125,16.040625,20.359375,13.8253125,5.61925,22.9986875,97.1875
100,20.1595,13.05883333,15.99583333,20.42583333,13.74841667,5.544666667,23.14041667,96.63333333
101,20.158625,13.10954167,15.95104167,20.49229167,13.67152083,5.470083333,23.28214583,96.07916667
102,20.15775,13.16025,15.90625,20.55875,13.594625,5.3955,23.423875,95.525
103,20.156875,13.21095833,15.86145833,20.62520833,13.51772917,5.320916667,23.56560417,94.97083333
104,20.156,13.26166667,15.81666667,20.69166667,13.44083333,5.246333333,23.70733333,94.41666667
105,20.155125,13.312375,15.771875,20.758125,13.3639375,5.17175,23.8490625,93.8625
106,20.15425,13.36308333,15.72708333,20.82458333,13.28704167,5.097166667,23.99079167,93.30833333
107,20.153375,13.41379167,15.68229167,20.89104167,13.21014583,5.022583333,24.13252083,92.75416667
108,20.1525,13.4645,15.6375,20.9575,13.13325,4.948,24.27425,92.2
109,20.151625,13.51520833,15.59270833,21.02395833,13.05635417,4.873416667,24.41597917,91.64583333
110,20.15075,13.56591667,15.54791667,21.09041667,12.97945833,4.798833333,24.55770833,91.09166667
111,20.149875,13.616625,15.503125,21.156875,12.9025625,4.72425,24.6994375,90.5375
112,20.149,13.66733333,15.45833333,21.22333333,12.82566667,4.649666667,24.84116667,89.98333333
113,20.148125,13.71804167,15.41354167,21.28979167,12.74877083,4.575083333,24.98289583,89.42916667
114,20.14725,13.76875,15.36875,21.35625,12.671875,4.5005,25.124625,88.875
115,20.146375,13.81945833,15.32395833,21.42270833,12.59497917,4.425916667,25.26635417,88.32083333
116,20.1455,13.87016667,15.27916667,21.48916667,12.51808333,4.351333333,25.40808333,87.76666667
117,20.144625,13.920875,15.234375,21.555625,12.4411875,4.27675,25.5498125,87.2125
118,20.14375,13.97158333,15.18958333,21.62208333,12.36429167,4.202166667,25.69154167,86.65833333
119,20.142875,14.02229167,15.14479167,21.68854167,12.28739583,4.127583333,25.83327083,86.10416667
120,20.142,14.073,15.1,21.755,12.2105,4.053,25.975,85.55
121,20.16416667,14.081625,15.09114583,21.7586875,12.13360417,4.128416667,26.39866667,88.143125
122,20.18633333,14.09025,15.08229167,21.762375,12.05670833,4.203833333,26.82233333,90.73625
123,20.2085,14.098875,15.0734375,21.7660625,11.9798125,4.27925,27.246,93.329375
124,20.23066667,14.1075,15.06458333,21.76975,11.90291667,4.354666667,27.66966667,95.9225
125,20.25283333,14.116125,15.05572917,21.7734375,11.82602083,4.430083333,28.09333333,98.515625
126,20.275,14.12475,15.046875,21.777125,11.749125,4.5055,28.517,101.10875
127,20.29716667,14.133375,15.03802083,21.7808125,11.67222917,4.580916667,28.94066667,103.701875
128,20.31933333,14.142,15.02916667,21.7845,11.59533333,4.656333333,29.36433333,106.295
129,20.3415,14.150625,15.0203125,21.7881875,11.5184375,4.73175,29.788,108.888125
130,20.36366667,14.15925,15.01145833,21.791875,11.44154167,4.807166667,30.21166667,111.48125
131,20.38583333,14.167875,15.00260417,21.7955625,11.36464583,4.882583333,30.63533333,114.074375
132,20.408,14.1765,14.99375,21.79925,11.28775,4.958,31.059,116.6675
133,20.43016667,14.185125,14.98489583,21.8029375,11.21085417,5.033416667,31.48266667,119.260625
134,20.45233333,14.19375,14.97604167,21.806625,11.13395833,5.108833333,31.90633333,121.85375
135,20.4745,14.202375,14.9671875,21.8103125,11.0570625,5.18425,32.33,124.446875
136,20.49666667,14.211,14.95833333,21.814,10.98016667,5.259666667,32.75366667,127.04
137,20.51883333,14.219625,14.94947917,21.8176875,10.90327083,5.335083333,33.17733333,129.633125
138,20.541,14.22825,14.940625,21.821375,10.826375,5.4105,33.601,132.22625
139,20.56316667,14.236875,14.93177083,21.8250625,10.74947917,5.485916667,34.02466667,134.819375
140,20.58533333,14.2455,14.92291667,21.82875,10.67258333,5.561333333,34.44833333,137.4125
141,20.6075,14.254125,14.9140625,21.8324375,10.5956875,5.63675,34.872,140.005625
142,20.62966667,14.26275,14.90520833,21.836125,10.51879167,5.712166667,35.29566667,142.59875
143,20.65183333,14.271375,14.89635417,21.8398125,10.44189583,5.787583333,35.71933333,145.191875
144,20.674,14.28,14.8875,21.8435,10.365,5.863,36.143,147.785
145,20.647125,14.27041667,14.87864583,21.8471875,10.44816667,5.976208333,36.43652083,149.99375
146,20.62025,14.26083333,14.86979167,21.850875,10.53133333,6.089416667,36.73004167,152.2025
