time,2015,2016,2017,2018,2019,favorable,adverse
01-05 03:00,44239.0,49461.0,51466.0,51618.0,47619.0,44374.0,56476.00000000001
01-05 04:00,46210.0,50243.0,52865.0,52946.0,47623.0,45108.8,57411.200000000004
01-05 05:00,50213.0,53939.0,56152.0,56154.0,47651.0,48243.36,61400.64000000001
01-05 06:00,57127.0,60431.0,62650.0,63274.0,48933.0,53326.24,67869.76000000001
01-05 07:00,62802.0,65744.0,68085.0,68076.0,51768.0,57660.24,73385.76000000001
01-05 08:00,65196.0,67487.0,69405.0,69858.0,55271.0,59539.92,75778.08
01-05 09:00,66150.0,68152.0,70151.0,70713.0,58604.0,60825.6,77414.40000000001
01-05 10:00,67490.0,69212.0,70956.0,71701.0,60320.0,61851.68,78720.32
01-05 11:00,68362.0,70336.0,71659.0,72671.0,61188.0,63220.08,80461.92000000001
01-05 12:00,68172.0,70256.0,71765.0,72304.0,61147.0,63194.56,80429.44
01-05 13:00,67915.0,69845.0,71140.0,71178.0,60236.0,62812.64,79943.36
01-05 14:00,66322.0,68544.0,69758.0,68871.0,58956.0,61666.0,78484.00000000001
01-05 15:00,65656.0,68188.0,69142.0,67410.0,58274.0,61234.8,77935.20000000001
01-05 16:00,67804.0,70513.0,71225.0,68594.0,60256.0,62355.92,79362.08
01-05 17:00,70891.0,72174.0,73484.0,69875.0,62287.0,63451.52,80756.48000000001
01-05 18:00,70628.0,71893.0,73034.0,69325.0,62491.0,63198.96,80435.04000000001
01-05 19:00,69299.0,70805.0,72182.0,68289.0,61088.0,61494.4,78265.6
01-05 20:00,65813.0,67454.0,69435.0,64527.0,57601.0,59275.04,75440.96
01-05 21:00,62013.0,63431.0,65501.0,60144.0,54510.0,56408.88,71793.12000000001
01-05 22:00,60528.0,60997.0,64137.0,58338.0,53766.0,54479.92,69338.08
01-05 23:00,56465.0,56683.0,60770.0,55359.0,50940.0,50980.16,64883.840000000004
01-06 00:00,52914.0,53120.0,57745.0,51708.0,47884.0,47823.6,60866.40000000001
01-06 01:00,49966.0,50616.0,55225.0,48701.0,45092.0,45535.6,57954.40000000001
01-06 02:00,48492.0,49206.0,53858.0,47005.0,43504.0,44122.32,56155.68000000001
01-06 03:00,48330.0,49077.0,53572.0,46796.0,43194.0,44101.2,56128.8
01-06 04:00,49342.0,50209.0,53708.0,46900.0,43101.0,44938.96,57195.04000000001
01-06 05:00,51645.0,51957.0,55271.0,47132.0,43050.0,46366.32,59011.68000000001
01-06 06:00,56813.0,57064.0,59910.0,47789.0,42445.0,50277.04,63988.96000000001
01-06 07:00,61659.0,61788.0,64511.0,50646.0,44144.0,53802.32,68475.68000000001
01-06 08:00,63189.0,63298.0,65955.0,53548.0,47141.0,55941.6,71198.40000000001
01-06 09:00,64820.0,64550.0,66891.0,56422.0,50566.0,57310.0,72940.0
01-06 10:00,66203.0,66363.0,67062.0,57944.0,53422.0,58404.72,74333.28000000001
01-06 11:00,67065.0,67857.0,67376.0,59675.0,55603.0,60203.44,76622.56000000001
01-06 12:00,66874.0,67253.0,67391.0,59446.0,55865.0,60416.4,76893.6
01-06 13:00,66241.0,66415.0,66536.0,58211.0,54618.0,58571.92,74546.08
01-06 14:00,64325.0,64727.0,64618.0,56106.0,53838.0,58237.52,74120.48000000001
01-06 15:00,63690.0,64163.0,63841.0,56012.0,52749.0,57493.92,73174.08
01-06 16:00,66768.0,67602.0,66901.0,59101.0,56049.0,58537.6,74502.40000000001
01-06 17:00,70204.0,69243.0,70389.0,61789.0,58502.0,60362.72,76825.28000000001
01-06 18:00,69841.0,69281.0,70297.0,62284.0,59351.0,60009.840000000004,76376.16
01-06 19:00,68805.0,68053.0,69202.0,61518.0,58246.0,58909.840000000004,74976.16
01-06 20:00,66038.0,65210.0,66755.0,58435.0,56059.0,56304.16,71659.84000000001
01-06 21:00,62704.0,61588.0,63535.0,55325.0,53842.0,53734.56,68389.44
01-06 22:00,60740.0,59949.0,62715.0,54703.0,53380.0,52680.32,67047.68000000001
01-06 23:00,56731.0,56218.0,60547.0,51832.0,51111.0,49859.92,63458.08000000001
01-07 00:00,52899.0,52894.0,58202.0,47850.0,47764.0,47262.16,60151.840000000004
01-07 01:00,50257.0,50200.0,55712.0,45575.0,45757.0,45188.0,57512.00000000001
01-07 02:00,48946.0,48813.0,53842.0,44104.0,44912.0,44749.76,56954.240000000005
01-07 03:00,48959.0,48922.0,52511.0,43565.0,45723.0,44514.8,56655.200000000004
01-07 04:00,50652.0,51029.0,51766.0,43823.0,48348.0,45799.6,58290.40000000001
01-07 05:00,55173.0,55410.0,51277.0,43652.0,53808.0,49028.32,62399.68000000001
01-07 06:00,64096.0,64275.0,51969.0,42604.0,62978.0,54112.08,68869.92000000001
01-07 07:00,70119.0,69068.0,55537.0,45452.0,68149.0,58271.840000000004,74164.16
01-07 08:00,71453.0,70483.0,59163.0,48872.0,69856.0,59936.8,76283.20000000001
01-07 09:00,71911.0,70869.0,61975.0,53025.0,70156.0,61066.72,77721.28000000001
01-07 10:00,73053.0,71009.0,63537.0,55728.0,71474.0,61987.2,78892.8
01-07 11:00,74144.0,72574.0,64654.0,58141.0,72188.0,63448.0,80752.00000000001
01-07 12:00,73496.0,72235.0,64633.0,57968.0,71971.0,63638.08,80993.92000000001
01-07 13:00,73128.0,72254.0,63603.0,57038.0,72061.0,62978.08,80153.92000000001
01-07 14:00,71843.0,71191.0,61724.0,55029.0,71624.0,61585.92,78382.08
01-07 15:00,71057.0,71137.0,61483.0,54379.0,71844.0,61169.68,77852.32
01-07 16:00,72678.0,72761.0,63975.0,58454.0,73519.0,61787.44,78638.56000000001
01-07 17:00,75300.0,74434.0,66286.0,61767.0,74916.0,63194.56,80429.44
01-07 18:00,74897.0,74194.0,66361.0,62508.0,74455.0,63104.8,80315.20000000001
01-07 19:00,73770.0,72755.0,64920.0,61678.0,72860.0,61580.64,78375.36
01-07 20:00,70370.0,69297.0,62022.0,59370.0,69966.0,59036.56,75137.44
01-07 21:00,66427.0,65185.0,58664.0,56711.0,66725.0,56285.68,71636.32
01-07 22:00,64762.0,63054.0,58123.0,57298.0,63872.0,54693.76,69610.24
01-07 23:00,60350.0,58948.0,55683.0,54525.0,59429.0,51266.16,65247.840000000004
01-08 00:00,55962.0,54618.0,52955.0,50504.0,55277.0,48431.68,61640.32000000001
01-08 01:00,53238.0,52066.0,50127.0,48377.0,53131.0,46380.4,59029.600000000006
01-08 02:00,51610.0,50422.0,47998.0,47778.0,51683.0,44889.68,57132.32000000001
01-08 03:00,51595.0,50844.0,47207.0,48555.0,52567.0,45079.76,57374.240000000005
01-08 04:00,53077.0,52461.0,46573.0,50629.0,54736.0,46293.28,58918.72000000001
01-08 05:00,56972.0,56917.0,46260.0,56394.0,59077.0,49063.52,62444.48
01-08 06:00,65971.0,65609.0,45062.0,65904.0,67297.0,54221.2,69008.8
01-08 07:00,71847.0,70703.0,47310.0,71902.0,72318.0,58138.96,73995.04000000001
01-08 08:00,73218.0,71636.0,50727.0,73721.0,73602.0,59715.92,76002.08
01-08 09:00,73334.0,71420.0,54074.0,74002.0,73800.0,61003.36,77640.64000000001
01-08 10:00,74437.0,71557.0,57132.0,74485.0,74309.0,62014.48,78927.52
01-08 11:00,75363.0,72140.0,59500.0,74921.0,74968.0,62660.4,79749.6
01-08 12:00,74579.0,71603.0,59472.0,74524.0,74773.0,62427.2,79452.8
01-08 13:00,74287.0,70605.0,57689.0,74478.0,74626.0,61414.32,78163.68000000001
01-08 14:00,72811.0,68237.0,55716.0,72713.0,73761.0,59683.36,75960.64000000001
01-08 15:00,72685.0,67283.0,55147.0,72748.0,73372.0,59078.8,75191.20000000001
01-08 16:00,73404.0,69420.0,58306.0,74910.0,74795.0,60467.44,76958.56000000001
01-08 17:00,74997.0,72021.0,61544.0,77854.0,76054.0,62015.36,78928.64000000001
01-08 18:00,74293.0,71271.0,61730.0,77398.0,75524.0,61622.88,78429.12000000001
01-08 19:00,73513.0,70290.0,60890.0,76168.0,74402.0,60450.72,76937.28000000001
01-08 20:00,69380.0,66119.0,59297.0,72397.0,71352.0,57273.92,72894.08
01-08 21:00,65290.0,62464.0,56860.0,68496.0,67251.0,54258.16,69055.84000000001
01-08 22:00,63183.0,59592.0,57363.0,65769.0,64368.0,52338.88,66613.12000000001
01-08 23:00,58868.0,56029.0,54891.0,61290.0,60514.0,49657.52,63200.48
01-09 00:00,54069.0,52506.0,52265.0,57435.0,56515.0,46664.64,59391.36000000001
01-09 01:00,51416.0,49997.0,50148.0,54870.0,53919.0,44727.76,56926.240000000005
01-09 02:00,49857.0,48301.0,48836.0,54101.0,52761.0,43361.12,55186.880000000005
01-09 03:00,50021.0,47733.0,49297.0,54646.0,53663.0,43115.6,54874.40000000001
01-09 04:00,52353.0,47751.0,51253.0,56785.0,55349.0,42925.52,54632.48
01-09 05:00,56712.0,47744.0,56409.0,61244.0,59314.0,43155.2,54924.8
01-09 06:00,66131.0,48402.0,66580.0,70147.0,67793.0,43570.56,55453.44
