,fit_capacity_factor_2015,fit_capacity_factor_2016,fit_capacity_factor_2017,fit_capacity_factor_2018,fit_capacity_factor_2019,fit_capacity_factor_2020
2001-01-06 3:00,0.053468766,0.206964141,0.042988816,0.164915729,0.196113477,0.222582498
2001-01-06 4:00,0.052252757,0.204101808,0.03939864,0.161352218,0.180583496,0.217966212
2001-01-06 5:00,0.052421332,0.202167498,0.036324651,0.15473597,0.165361918,0.210944508
2001-01-06 6:00,0.059580705,0.201123509,0.033538871,0.146951752,0.150228354,0.209458772
2001-01-06 7:00,0.07464691,0.199888451,0.03044251,0.139023609,0.13563267,0.204433273
2001-01-06 8:00,0.095020776,0.199000175,0.02850763,0.12390738,0.126336104,0.204363921
2001-01-06 9:00,0.109542591,0.195346671,0.028314952,0.095677168,0.11784622,0.1882294
2001-01-06 10:00,0.105932557,0.18572286,0.029118703,0.063780288,0.107269623,0.158096176
2001-01-06 11:00,0.106396122,0.178489266,0.03255126,0.048278719,0.104255837,0.145748012
2001-01-06 12:00,0.112170321,0.172839986,0.03556471,0.044981277,0.10818775,0.142483237
2001-01-06 13:00,0.119821419,0.166737417,0.038552486,0.051001767,0.112589483,0.141531539
2001-01-06 14:00,0.126639496,0.160048897,0.041130112,0.062920109,0.112537719,0.135050811
2001-01-06 15:00,0.165047294,0.152774714,0.042442467,0.080155856,0.116222724,0.148807144
2001-01-06 16:00,0.226543321,0.155899741,0.054690723,0.099828507,0.134433465,0.199485026
2001-01-06 17:00,0.256307679,0.162348398,0.074121206,0.111854174,0.143553801,0.244595362
2001-01-06 18:00,0.264026577,0.167479164,0.093318045,0.119917116,0.141818418,0.264586086
2001-01-06 19:00,0.265791049,0.167226483,0.109192286,0.128713229,0.132154156,0.271975086
2001-01-06 20:00,0.266745368,0.165288507,0.120629992,0.141362658,0.124245422,0.272912888
2001-01-06 21:00,0.26665121,0.160875642,0.126615708,0.155497097,0.123507756,0.268764203
2001-01-06 22:00,0.264972342,0.156470025,0.13145523,0.174707908,0.130830846,0.264531845
2001-01-06 23:00,0.260761828,0.159622525,0.13587671,0.194001505,0.132597133,0.261779578
2001-01-07 0:00,0.25698656,0.167474124,0.137033704,0.20780068,0.131065077,0.260914834
2001-01-07 1:00,0.252074099,0.173577856,0.139837188,0.219931787,0.133821172,0.264412802
2001-01-07 2:00,0.249131466,0.18252532,0.147174517,0.234264402,0.138226773,0.262172003
2001-01-07 3:00,0.25296119,0.190155349,0.162518226,0.239803457,0.145369227,0.259519255
2001-01-07 4:00,0.252457187,0.192429374,0.1848745,0.235944981,0.144815671,0.259325071
2001-01-07 5:00,0.248046238,0.199684543,0.204165336,0.23727174,0.141296624,0.262690836
2001-01-07 6:00,0.243556457,0.212885718,0.22379519,0.239394106,0.143267726,0.261985942
2001-01-07 7:00,0.232464348,0.225055262,0.22815986,0.239632889,0.149185205,0.253238214
2001-01-07 8:00,0.231630812,0.233541288,0.223536711,0.244051776,0.154510705,0.230368337
2001-01-07 9:00,0.229091147,0.239237214,0.22524076,0.246874103,0.159363311,0.204291382
2001-01-07 10:00,0.216904554,0.243347736,0.248587816,0.25219585,0.156192307,0.180421289
2001-01-07 11:00,0.207653035,0.256321083,0.264192526,0.271106766,0.163581954,0.172755793
2001-01-07 12:00,0.216663029,0.279349841,0.262501638,0.282942372,0.179412352,0.180976782
2001-01-07 13:00,0.219271405,0.305450359,0.253789182,0.281271995,0.202397255,0.19372436
2001-01-07 14:00,0.218819627,0.324376699,0.239508796,0.266814343,0.232252711,0.20323822
2001-01-07 15:00,0.234476668,0.337713474,0.224194755,0.260549905,0.275119303,0.218833161
2001-01-07 16:00,0.261369608,0.376968795,0.226606775,0.282403443,0.319549987,0.243619326
2001-01-07 17:00,0.272478205,0.410507977,0.227903056,0.295352982,0.367419897,0.269289113
2001-01-07 18:00,0.276097033,0.434675183,0.221846344,0.291208005,0.416096518,0.295524259
2001-01-07 19:00,0.291604943,0.450605323,0.216725202,0.2829683,0.445709448,0.313352825
2001-01-07 20:00,0.305715285,0.460827173,0.199939574,0.269473288,0.48421033,0.332355644
2001-01-07 21:00,0.319556388,0.460826794,0.182021877,0.254196223,0.541614201,0.35151601
2001-01-07 22:00,0.331715537,0.493213569,0.167055463,0.243642605,0.56502859,0.358168069
2001-01-07 23:00,0.347574062,0.516690453,0.155130632,0.239787518,0.600892576,0.36392916
2001-01-08 0:00,0.370532578,0.509040751,0.14328222,0.235603113,0.629650902,0.374985918
2001-01-08 1:00,0.3885354,0.513967251,0.130725032,0.233127866,0.637121042,0.383355196
2001-01-08 2:00,0.406629747,0.532387246,0.119515958,0.229980375,0.642596404,0.392980613
2001-01-08 3:00,0.420712132,0.566320392,0.113818589,0.230374602,0.656644514,0.40535172
2001-01-08 4:00,0.431012269,0.566547723,0.102292635,0.235469064,0.666052951,0.418722094
2001-01-08 5:00,0.442004827,0.570026766,0.089808576,0.241185074,0.684739695,0.427118618
2001-01-08 6:00,0.445986191,0.571170731,0.073993374,0.244314592,0.700798471,0.431682024
2001-01-08 7:00,0.450789769,0.571937711,0.059866279,0.249324392,0.720188593,0.428705824
2001-01-08 8:00,0.449954341,0.562884706,0.047420748,0.257538895,0.738194842,0.424195177
2001-01-08 9:00,0.437993054,0.549240292,0.029860522,0.261393804,0.754200917,0.401771957
2001-01-08 10:00,0.431558006,0.542639191,0.013499912,0.279117242,0.764981586,0.377854812
2001-01-08 11:00,0.437892276,0.533471963,0.00470142,0.310523616,0.778695351,0.359774336
2001-01-08 12:00,0.445019348,0.520242086,-0.000733203,0.340596823,0.787226134,0.353684355
2001-01-08 13:00,0.436245568,0.502421277,-0.003956502,0.345865,0.787150019,0.33447906
2001-01-08 14:00,0.420741151,0.471329758,-0.006931969,0.339832605,0.779637073,0.324081207
2001-01-08 15:00,0.419977928,0.431963917,-0.00939281,0.363951923,0.775112972,0.30664402
2001-01-08 16:00,0.442256404,0.394107669,-0.009163187,0.392051089,0.774012746,0.287551485
2001-01-08 17:00,0.45303647,0.359444943,-0.008450077,0.405771396,0.767367167,0.266998219
2001-01-08 18:00,0.463205849,0.323644524,-0.006799518,0.409636486,0.751093469,0.246964691
2001-01-08 19:00,0.483804711,0.295449173,-0.004191051,0.410075217,0.73432536,0.221346101
2001-01-08 20:00,0.509426413,0.266667456,0.000347437,0.410258365,0.719595933,0.198651287
2001-01-08 21:00,0.517032446,0.24270974,0.007554819,0.410116101,0.706206771,0.178151257
2001-01-08 22:00,0.534784871,0.213862053,0.017469735,0.413535624,0.700067516,0.157555688
2001-01-08 23:00,0.556433029,0.184674439,0.029141088,0.417097824,0.690956487,0.143027378
2001-01-09 0:00,0.543270828,0.159636657,0.041724577,0.419260282,0.677804131,0.134640237
2001-01-09 1:00,0.526636341,0.142176604,0.053010544,0.426982634,0.664474526,0.129451051
2001-01-09 2:00,0.519603668,0.127654637,0.061662732,0.427805575,0.642889496,0.133475346
2001-01-09 3:00,0.540103254,0.119090115,0.066620553,0.423898559,0.624268229,0.139001595
2001-01-09 4:00,0.590369217,0.110380905,0.066419753,0.435573009,0.607916051,0.144045889
2001-01-09 5:00,0.657045266,0.111188113,0.066720471,0.444901409,0.591683535,0.156071523
2001-01-09 6:00,0.719518577,0.123116144,0.07199553,0.446554345,0.575398062,0.186171451
2001-01-09 7:00,0.782670907,0.139554612,0.081466241,0.437680964,0.561548932,0.233091992
2001-01-09 8:00,0.820180652,0.159293103,0.091784916,0.424919448,0.547027853,0.290847788
2001-01-09 9:00,0.845221111,0.161455434,0.096220047,0.403945839,0.534856908,0.334831471
2001-01-09 10:00,0.869189982,0.143468007,0.087003157,0.379470418,0.533890773,0.369674979
2001-01-09 11:00,0.87674898,0.13537448,0.086912704,0.364688773,0.553269653,0.387291156
2001-01-09 12:00,0.873214309,0.129247094,0.0943319,0.350490766,0.564960471,0.407224778
2001-01-09 13:00,0.862870374,0.11899838,0.10223944,0.327905735,0.558575744,0.423999298
2001-01-09 14:00,0.856879325,0.122292846,0.120952726,0.31450988,0.543235708,0.432874807
2001-01-09 15:00,0.84766492,0.159962223,0.156820666,0.309131546,0.521065075,0.454608718
2001-01-09 16:00,0.836625754,0.213804627,0.204299292,0.31211702,0.505929837,0.462491729
2001-01-09 17:00,0.818173431,0.244596444,0.231795272,0.309290569,0.491566171,0.460797508
2001-01-09 18:00,0.794712746,0.245616276,0.257415131,0.297000112,0.470866583,0.445394366
2001-01-09 19:00,0.761696341,0.234601441,0.277644399,0.282939421,0.442257501,0.434731809
2001-01-09 20:00,0.701761829,0.225273254,0.293799642,0.260941527,0.407488883,0.418356134
2001-01-09 21:00,0.629763975,0.224346133,0.310731401,0.239239637,0.366361164,0.389983812
2001-01-09 22:00,0.579606171,0.230280386,0.320913572,0.228556684,0.333137358,0.363938948
2001-01-09 23:00,0.564235317,0.232656298,0.326948579,0.203239904,0.30149089,0.343664103
2001-01-10 0:00,0.583616736,0.236994175,0.34056108,0.177041907,0.261240822,0.339155816
2001-01-10 1:00,0.603096425,0.244418544,0.349019458,0.153650247,0.228203389,0.331494133
2001-01-10 2:00,0.609356312,0.260233782,0.346138964,0.140157945,0.203732732,0.333248351
2001-01-10 3:00,0.641716555,0.280456387,0.339210194,0.132162369,0.186374247,0.331738875
2001-01-10 4:00,0.699722002,0.308207555,0.322652094,0.131263972,0.169408459,0.327944271
2001-01-10 5:00,0.745120501,0.329387527,0.304185264,0.130839118,0.15053623,0.308086759
2001-01-10 6:00,0.786269358,0.335952713,0.292522725,0.130701398,0.136547379,0.299033008
2001-01-10 7:00,0.804744408,0.350284776,0.273358378,0.128803234,0.123514865,0.310680696
2001-01-10 8:00,0.816656479,0.365458242,0.262365256,0.129262165,0.112926653,0.331074745
2001-01-10 9:00,0.848879632,0.367653221,0.229622368,0.116408515,0.093328648,0.31257725
2001-01-10 10:00,0.86759298,0.361125335,0.181595673,0.094497227,0.079135047,0.297647732
2001-01-10 11:00,0.885399977,0.362493798,0.164517535,0.075653126,0.07509966,0.327438401
2001-01-10 12:00,0.901582206,0.355612332,0.164845529,0.069837047,0.07244804,0.377259979
2001-01-10 13:00,0.907888375,0.320216873,0.156557974,0.064762072,0.068420017,0.397004614
2001-01-10 14:00,0.907337708,0.284552641,0.147977774,0.066705185,0.063403874,0.384218191
2001-01-10 15:00,0.904647052,0.276353901,0.158540915,0.077753876,0.068232319,0.379266363
2001-01-10 16:00,0.896735627,0.279657437,0.18684924,0.095691614,0.084158403,0.396210493
2001-01-10 17:00,0.874130805,0.284689926,0.201067533,0.109746185,0.092857819,0.401294274
2001-01-10 18:00,0.84933526,0.292818574,0.197066031,0.114456959,0.092625708,0.386958034
2001-01-10 19:00,0.812416775,0.290922189,0.191045718,0.110436742,0.09144766,0.361282458
2001-01-10 20:00,0.768798586,0.287764857,0.184387656,0.099389165,0.090671093,0.325875299
2001-01-10 21:00,0.736302453,0.290197202,0.180660499,0.0845596,0.095195498,0.316854414
2001-01-10 22:00,0.716846099,0.279223611,0.181924835,0.068363267,0.106000323,0.289203081
2001-01-10 23:00,0.701597964,0.253604547,0.189514727,0.051556761,0.116414437,0.271757629
2001-01-11 0:00,0.679620931,0.228842543,0.202887589,0.035304887,0.125008172,0.253578514
2001-01-11 1:00,0.654381424,0.211379559,0.221440881,0.023618752,0.135480216,0.233000385
2001-01-11 2:00,0.633053281,0.19735816,0.243082873,0.016404831,0.145783255,0.21416934
2001-01-11 3:00,0.615328686,0.188017098,0.27835486,0.012809187,0.167276767,0.198494114
2001-01-11 4:00,0.608636706,0.183626399,0.318310496,0.010930311,0.195463809,0.18905741
2001-01-11 5:00,0.611417602,0.169169561,0.357555948,0.009580154,0.214781667,0.179094753
2001-01-11 6:00,0.629015498,0.156661101,0.406167288,0.007394437,0.219449069,0.170461576
2001-01-11 7:00,0.652971042,0.146108035,0.444856191,0.004118348,0.221917602,0.169587437
2001-01-11 8:00,0.678606855,0.138370985,0.496827134,0.00089843,0.223548448,0.167766597
2001-01-11 9:00,0.707812509,0.124552077,0.530197504,-0.002721275,0.237065325,0.160579554
2001-01-11 10:00,0.746083952,0.11004498,0.557231474,-0.005373141,0.257948241,0.173512277
2001-01-11 11:00,0.777694415,0.107062074,0.616984338,-0.004047908,0.278942107,0.215808428
2001-01-11 12:00,0.792852846,0.109623299,0.662394442,0.001779803,0.308324134,0.249027067
2001-01-11 13:00,0.796350721,0.122016443,0.67091763,0.010776382,0.341033735,0.277218672
2001-01-11 14:00,0.79305012,0.150936347,0.66398607,0.020470873,0.362197038,0.297345576
2001-01-11 15:00,0.783110909,0.189429803,0.668981947,0.033110779,0.373337488,0.320005641
2001-01-11 16:00,0.776330309,0.207501234,0.667920384,0.045585396,0.390243686,0.348797077
2001-01-11 17:00,0.772083023,0.219197539,0.645665525,0.052451357,0.41102422,0.364824878
2001-01-11 18:00,0.767539599,0.229887992,0.629921351,0.052901305,0.421518213,0.375830505
2001-01-11 19:00,0.75893103,0.231284045,0.610567448,0.046571022,0.420152546,0.391152147
2001-01-11 20:00,0.749565396,0.235298083,0.615488891,0.038584071,0.413866401,0.401963791
2001-01-11 21:00,0.742134542,0.246313997,0.609440863,0.032919572,0.408596842,0.408318693
2001-01-11 22:00,0.721887821,0.252198509,0.612113431,0.031745305,0.403311049,0.41077987
2001-01-11 23:00,0.684123502,0.23830282,0.609227343,0.035022115,0.391191793,0.407017626
2001-01-12 0:00,0.647426983,0.22419688,0.608437212,0.039344388,0.36828612,0.405951003
2001-01-12 1:00,0.626541129,0.224870953,0.618201828,0.044483678,0.34950952,0.397903607
2001-01-12 2:00,0.624066511,0.234583986,0.629819313,0.048157121,0.335209074,0.392934223
2001-01-12 3:00,0.613292962,0.241949579,0.624208015,0.050793682,0.340550708,0.392182473
2001-01-12 4:00,0.597723754,0.244506211,0.609094811,0.053461568,0.344602489,0.394103822
2001-01-12 5:00,0.589098282,0.262694637,0.585233707,0.054728084,0.33988914,0.401188267
2001-01-12 6:00,0.605261624,0.281752791,0.564996537,0.055883194,0.346017687,0.415404668
