hour_of_year;2015;2016;2017;2018;2019;2020
408;76;62;113;121;112;84
409;76;62;113;121;112;84
410;76;62;113;121;112;84
411;76;62;113;121;112;84
412;76;62;113;121;112;84
413;76;62;113;121;112;84
414;76;62;113;121;112;84
415;76;62;113;121;112;84
416;76;62;113;121;112;84
417;76;62;113;121;112;84
418;76;62;113;121;112;84
419;76;62;113;121;112;84
420;76;62;113;121;112;84
421;76;62;113;121;112;84
422;76;62;113;121;112;84
423;76;62;113;121;112;84
424;76;62;113;121;112;84
425;76;62;113;121;112;84
426;76;62;113;121;112;84
427;76;62;113;121;112;84
428;76;62;113;121;112;84
429;76;62;113;121;112;84
430;76;62;113;121;112;84
431;76;62;113;121;112;84
432;76;62;113;121;112;84
433;76;62;113;121;112;84
434;76;62;113;121;112;84
435;76;62;113;121;112;84
436;76;62;113;121;112;84
437;76;62;113;121;112;84
438;76;62;113;121;112;84
439;76;62;113;121;112;84
440;76;62;113;121;112;84
441;76;62;113;121;112;84
442;76;62;113;121;112;84
443;76;62;113;121;112;84
444;76;62;113;121;112;84
445;76;62;113;121;112;84
446;76;62;113;121;112;84
447;76;62;113;121;112;84
448;76;62;113;121;112;84
449;76;62;113;121;112;84
450;76;62;113;121;112;84
451;76;62;113;121;112;84
452;76;62;113;121;112;84
453;76;62;113;121;112;84
454;76;62;113;121;112;84
455;76;62;113;121;112;84
456;76;62;113;121;112;84
457;76;62;113;121;112;84
458;76;62;113;121;112;84
459;76;62;113;121;112;84
460;76;62;113;121;112;84
461;76;62;113;121;112;84
462;76;62;113;121;112;84
463;76;62;113;121;112;84
464;76;62;113;121;112;84
465;76;62;113;121;112;84
466;76;62;113;121;112;84
467;76;62;113;121;112;84
468;76;62;113;121;112;84
469;76;62;113;121;112;84
470;76;62;113;121;112;84
471;76;62;113;121;112;84
472;76;62;113;121;112;84
473;76;62;113;121;112;84
474;76;62;113;121;112;84
475;76;62;113;121;112;84
476;76;62;113;121;112;84
477;76;62;113;121;112;84
478;76;62;113;121;112;84
479;76;62;113;121;112;84
480;76;62;113;121;112;84
481;76;62;113;121;112;84
482;76;62;113;121;112;84
483;76;62;113;121;112;84
484;76;62;113;121;112;84
485;76;62;113;121;112;84
486;76;62;113;121;112;84
487;76;62;113;121;112;84
488;76;62;113;121;112;84
489;76;62;113;121;112;84
490;76;62;113;121;112;84
491;76;62;113;121;112;84
492;76;62;113;121;112;84
493;76;62;113;121;112;84
494;76;62;113;121;112;84
495;76;62;113;121;112;84
496;76;62;113;121;112;84
497;76;62;113;121;112;84
498;76;62;113;121;112;84
499;76;62;113;121;112;84
500;76;62;113;121;112;84
501;76;62;113;121;112;84
502;76;62;113;121;112;84
503;76;62;113;121;112;84
504;76;62;113;121;112;84
505;76;62;113;121;112;84
506;76;62;113;121;112;84
507;76;62;113;121;112;84
508;76;62;113;121;112;84
509;76;62;113;121;112;84
510;76;62;113;121;112;84
511;76;62;113;121;112;84
512;76;62;113;121;112;84
513;76;62;113;121;112;84
514;76;62;113;121;112;84
515;76;62;113;121;112;84
516;76;62;113;121;112;84
517;76;62;113;121;112;84
518;76;62;113;121;112;84
519;76;62;113;121;112;84
520;76;62;113;121;112;84
521;76;62;113;121;112;84
522;76;62;113;121;112;84
523;76;62;113;121;112;84
524;76;62;113;121;112;84
525;76;62;113;121;112;84
526;76;62;113;121;112;84
527;76;62;113;121;112;84
528;76;62;113;121;112;84
529;76;62;113;121;112;84
530;76;62;113;121;112;84
531;76;62;113;121;112;84
532;76;62;113;121;112;84
533;76;62;113;121;112;84
534;76;62;113;121;112;84
535;76;62;113;121;112;84
536;76;62;113;121;112;84
537;76;62;113;121;112;84
538;76;62;113;121;112;84
539;76;62;113;121;112;84
540;76;62;113;121;112;84
541;76;62;113;121;112;84
542;76;62;113;121;112;84
543;76;62;113;121;112;84
544;76;62;113;121;112;84
545;76;62;113;121;112;84
546;76;62;113;121;112;84
547;76;62;113;121;112;84
548;76;62;113;121;112;84
549;76;62;113;121;112;84
550;76;62;113;121;112;84
551;76;62;113;121;112;84
552;76;62;113;121;112;84
553;76;62;113;121;112;84
554;76;62;113;121;112;84
555;76;62;113;121;112;84
556;76;62;113;121;112;84
557;76;62;113;121;112;84
558;76;62;113;121;112;84
559;76;62;113;121;112;84
560;76;62;113;121;112;84
561;76;62;113;121;112;84
562;76;62;113;121;112;84
563;76;62;113;121;112;84
564;76;62;113;121;112;84
565;76;62;113;121;112;84
566;76;62;113;121;112;84
567;76;62;113;121;112;84
568;76;62;113;121;112;84
569;76;62;113;121;112;84
570;76;62;113;121;112;84
571;76;62;113;121;112;84
572;76;62;113;121;112;84
573;76;62;113;121;112;84
574;76;62;113;121;112;84
575;76;62;113;121;112;84
576;76;62;113;121;112;84
577;76;62;113;121;112;84
578;76;62;113;121;112;84
579;76;62;113;121;112;84
580;76;62;113;121;112;84
581;76;62;113;121;112;84
582;76;62;113;121;112;84
583;76;62;113;121;112;84
584;76;62;113;121;112;84
585;76;62;113;121;112;84
586;76;62;113;121;112;84
587;76;62;113;121;112;84
588;76;62;113;121;112;84
589;76;62;113;121;112;84
590;76;62;113;121;112;84
591;76;62;113;121;112;84
592;76;62;113;121;112;84
593;76;62;113;121;112;84
594;76;62;113;121;112;84
595;76;62;113;121;112;84
596;76;62;113;121;112;84
597;76;62;113;121;112;84
598;76;62;113;121;112;84
599;76;62;113;121;112;84
600;76;62;113;121;112;84
601;76;62;113;121;112;84
602;76;62;113;121;112;84
603;76;62;113;121;112;84
604;76;62;113;121;112;84
605;76;62;113;121;112;84
606;76;62;113;121;112;84
607;76;62;113;121;112;84
608;76;62;113;121;112;84
609;76;62;113;121;112;84
610;76;62;113;121;112;84
611;76;62;113;121;112;84
612;76;62;113;121;112;84
613;76;62;113;121;112;84
614;76;62;113;121;112;84
615;76;62;113;121;112;84
616;76;62;113;121;112;84
617;76;62;113;121;112;84
618;76;62;113;121;112;84
619;76;62;113;121;112;84
620;76;62;113;121;112;84
621;76;62;113;121;112;84
622;76;62;113;121;112;84
623;76;62;113;121;112;84
624;76;62;113;121;112;84
625;76;62;113;121;112;84
626;76;62;113;121;112;84
627;76;62;113;121;112;84
628;76;62;113;121;112;84
629;76;62;113;121;112;84
630;76;62;113;121;112;84
631;76;62;113;121;112;84
632;76;62;113;121;112;84
633;76;62;113;121;112;84
634;76;62;113;121;112;84
635;76;62;113;121;112;84
636;76;62;113;121;112;84
637;76;62;113;121;112;84
638;76;62;113;121;112;84
639;76;62;113;121;112;84
640;76;62;113;121;112;84
641;76;62;113;121;112;84
642;76;62;113;121;112;84
643;76;62;113;121;112;84
644;76;62;113;121;112;84
645;76;62;113;121;112;84
646;76;62;113;121;112;84
647;76;62;113;121;112;84
648;76;62;113;121;112;84
649;76;62;113;121;112;84
650;76;62;113;121;112;84
651;76;62;113;121;112;84
652;76;62;113;121;112;84
653;76;62;113;121;112;84
654;76;62;113;121;112;84
655;76;62;113;121;112;84
656;76;62;113;121;112;84
657;76;62;113;121;112;84
658;76;62;113;121;112;84
659;76;62;113;121;112;84
660;76;62;113;121;112;84
661;76;62;113;121;112;84
662;76;62;113;121;112;84
663;76;62;113;121;112;84
664;76;62;113;121;112;84
665;76;62;113;121;112;84
666;76;62;113;121;112;84
667;76;62;113;121;112;84
668;76;62;113;121;112;84
669;76;62;113;121;112;84
670;76;62;113;121;112;84
671;76;62;113;121;112;84
672;76;62;113;121;112;84
673;76;62;113;121;112;84
674;76;62;113;121;112;84
675;76;62;113;121;112;84
676;76;62;113;121;112;84
677;76;62;113;121;112;84
